line_no,stem,stem_type,root_guess,variant_no,weak_only,attestation_texts,language_period,present_class,root,book,hymn,stanza,pada_id,pada_label,word,word_position_no,word_position,word_gloss,text_padapatha,text_samhitapatha,meter_scansion,stanza_meter,stanza_strata,stanza_late_addition,hymn_absolute_no,hymn_addressee,hymn_group
01.063.02.d,iṣṇā,strong,iṣ,,False,,Earlier,ninth,iṣ 1,01,01.063,01.063.02,d,M,iṣṇā́si,2,intermediate,2.SG.PRS.IND.ACT,púraḥ iṣṇā́si= puruhūta pūrvī́ḥ,púra iṣṇā́si puruhūta pūrvī́ḥ,SS LLS SSLS LL,Triṣṭubh,A,,63,Indra,"Hymns of Nodhas, Descendant of Gotama"
01.063.04.b,ubhnā,strong,ubh,,False,V.,Earlier,ninth,ubh,01,01.063,01.063.04,b,Mh,ubhnā́ḥ,5,,3.SG.PRS.INJ.ACT,vr̥trám yát vajrin= vr̥ṣakarman ubhnā́ḥ,vr̥tráṁ yád vajrin vr̥ṣakarman ubhnā́ḥ,LL L LL SSLS LL,Triṣṭubh,A,,63,Indra,"Hymns of Nodhas, Descendant of Gotama"
04.019.04.c,ubhnā,strong,ubh,,False,V.,Earlier,ninth,ubh,04,04.019,04.019.04,c,M,aubhnāt,2,intermediate,3.SG.IPRF.IND.ACT,dr̥ḷhā́ni aubhnāt= uśámānaḥ ójaḥ,dr̥r̥ḷhā́ni+ aubhnād uśámāna ójo,SLLS LL SSLS LL,,S,,315,Indra,Hymns to Indra
04.018.12.d,kṣiṇā,strong,kṣi,,False,V.B.,Earlier,ninth,kṣī,04,04.018,04.018.12,d,P,ákṣiṇāḥ,3,intermediate,2.SG.IPRF.IND.ACT,yát prá ákṣiṇāḥ= pitáram pādagŕ̥hya,yát prā́kṣiṇāḥ pitáram pādagŕ̥hya,L LSL SSL LSLS,Triṣṭubh,P,"['Grassmann (G)', 'Arnold (C1)']",314,"Dialogue Between Indra, Aditi and Vamadeva",Hymns to Indra
10.027.04.d,kṣiṇā,strong,kṣi,,False,V.B.,Earlier,ninth,kṣī,10,10.027,10.027.04,d,P,kṣiṇām,3,intermediate,1.SG.PRS.INJ.ACT,prá tám kṣiṇām= párvate-_ pādagŕ̥hya,prá táṁ kṣiṇām párvate pādagŕ̥hya,S L SL LSL LSLS,Triṣṭubh,P,['Arnold (C1)'],853,Indra,The Vasukra Hymns
10.027.13.c,kṣiṇā,strong,kṣi,,False,V.B.,Earlier,ninth,kṣī,10,10.027,10.027.13,c,P,kṣiṇāti,4,,3.SG.PRS.IND.ACT,ā́sīnaḥ ūrdhvā́m= upási} kṣiṇāti,ā́sīna ūrdhvā́m upási kṣiṇāti,LLS LL SSL SLS,Triṣṭubh,P,['Arnold (C1)'],853,Indra,The Vasukra Hymns
09.046.04.b,gr̥bhṇī,weak,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,09,09.046,09.046.04,b,MO,gr̥bhṇīta,2,verse final,2.PL.PRS.IND.ACT,śukrā́ gr̥bhṇīta manthínā,śukrā́ gr̥bhṇīta manthínā,LL LLS LSL,Gāyatrī,N,,758,Soma,Tirasci and Other Poets
09.106.03.b,gr̥bhṇī,weak,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,09,09.106,09.106.03,b,MR,gr̥bhṇīta,2,verse final,3.SG.PRS.INJ.MED,grābhám gr̥bhṇīta sānasím,grābháṁ gr̥bhṇīta sānasím,LL LLS LSL,,A,,818,Soma,The Usnih Group
10.062.01.d,gr̥bhṇī,weak,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,10,10.062,10.062.01,d,M,gr̥bhṇīta,2,intermediate,2.PL.PRS.IND.ACT,práti gr̥bhṇīta= mānavám} sumedhasaḥ,práti gr̥bhṇīta mānaváṁ sumedhasaḥ,SS LLS LSL SLSL,,C,['Arnold (C1)'],888,"All the Gods or the Angiras, Thanksgiving to Savarni",Nabhanedistha Hymns
10.062.02.d,gr̥bhṇī,weak,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,10,10.062,10.062.02,d,M,gr̥bhṇīta,2,intermediate,2.PL.PRS.IND.ACT,práti gr̥bhṇīta= mānavám} sumedhasaḥ,práti gr̥bhṇīta mānaváṁ sumedhasaḥ,SS LLS LSL SLSL,,C,['Arnold (C1)'],888,"All the Gods or the Angiras, Thanksgiving to Savarni",Nabhanedistha Hymns
10.062.03.d,gr̥bhṇī,weak,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,10,10.062,10.062.03,d,M,gr̥bhṇīta,2,intermediate,2.PL.PRS.IND.ACT,práti gr̥bhṇīta= mānavám} sumedhasaḥ,práti gr̥bhṇīta mānaváṁ sumedhasaḥ,SS LLS LSL SLSL,,C,['Arnold (C1)'],888,"All the Gods or the Angiras, Thanksgiving to Savarni",Nabhanedistha Hymns
10.062.04.d,gr̥bhṇī,weak,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,10,10.062,10.062.04,d,M,gr̥bhṇīta,2,intermediate,2.PL.PRS.IND.ACT,práti gr̥bhṇīta= mānavám} sumedhasaḥ,práti gr̥bhṇīta mānaváṁ sumedhasaḥ,SS LLS LSL SLSL,,C,['Arnold (C1)'],888,"All the Gods or the Angiras, Thanksgiving to Savarni",Nabhanedistha Hymns
01.055.02.b,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,01,01.055,01.055.02,b,M,gr̥bhṇāti,2,intermediate,3.SG.PRS.IND.ACT,práti gr̥bhṇāti= víśritāḥ} várīmabhiḥ,práti gr̥bhṇāti víśritā várīmabhiḥ,SS LLS LSL SLSL,Jagatī,S,,55,Indra,Hymns of Savya
01.163.02.c,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,01,01.163,01.163.02,c,P,agr̥bhṇāt,4,,3.SG.IPRF.IND.ACT,gandharváḥ asya= raśanā́m} agr̥bhṇāt,gandharvó asya raśanā́m agr̥bhṇāt,LLL LS SSL SLL,,P,"['Grassmann (G)', 'Oldenberg (o)', 'Arnold (C1)', 'Wuest (w)', 'Witzel (z)']",163,Praise of the Horse,"Hymns of Dirghatamas, Son of Ucathya and Mamata"
03.030.05.d,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,03,03.030,03.030.05,d,M,saṁgr̥bhṇā́ḥ,2,intermediate,2.SG.PRS.SBJV.ACT,yát saṁgr̥bhṇā́ḥ= maghavan kāśíḥ ít te-_,yát saṁgr̥bhṇā́ maghavan kāśír ít te,L LLL SSL LS L L,,N,,264,Indra,Hymns to Indra
05.031.07.c,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,05,05.031,05.031.07,c,M,agr̥bhṇāḥ,5,,2.SG.IPRF.IND.ACT,śúṣṇasya cit= pári māyā́ḥ} agr̥bhṇāḥ,śúṣṇasya cit pári māyā́ agr̥bhṇāḥ,LLS L SS LL SLL,Triṣṭubh,N,,385,Indra,Hymns to Indra
07.101.03.c,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,07,07.101,07.101.03,c,D,gr̥bhṇāti,4,verse final,3.SG.PRS.IND.ACT,pitúḥ páyaḥ= práti gr̥bhṇāti mātā́,pitúḥ páyaḥ práti gr̥bhṇāti mātā́,SL SL SS LLS LL,Triṣṭubh,C,['Arnold (C1)'],617,Parjanya,Hymns to Parjanya / Appendix
07.103.04.a,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,07,07.103,07.103.04,a,P,gr̥bhṇāti,4,verse final,3.SG.PRS.IND.ACT,anyáḥ anyám= ánu gr̥bhṇāti enoḥ,anyó anyám ánu gr̥bhṇāti enor,LL LS SS LLS LL,Triṣṭubh,P,"['Oldenberg (O)', 'Arnold (C2)', 'Wuest (W)', 'Witzel (Z)']",619,The Frogs,Hymns to Parjanya / Appendix
09.078.01.c,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,09,09.078,09.078.01,c,M,gr̥bhṇā́ti,1,intermediate,3.SG.PRS.IND.ACT,gr̥bhṇā́ti riprám= áviḥ asya tā́nvā,gr̥bhṇā́ti riprám ávir asya tā́nuvā,LLS LS SS LS LSL,Jagatī,N,,790,Soma,The Jagati Group
09.083.04.c,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,09,09.083,09.083.04,c,M,gr̥bhṇā́ti,1,intermediate,3.SG.PRS.IND.ACT,gr̥bhṇā́ti ripúm= nidháyā} nidhā́patiḥ,gr̥bhṇā́ti ripúṁ nidháyā nidhā́patiḥ,LLS SL SSL SLSL,Jagatī,N,,795,Soma,The Jagati Group
10.085.36.a,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,10,10.085,10.085.36,a,P,gr̥bhṇā́mi,1,intermediate,1.SG.PRS.IND.ACT,gr̥bhṇā́mi te-_= saubhagatvā́ya hástam,gr̥bhṇā́mi te saubhagatvā́ya hástam,LLS L LSLLS LL,Triṣṭubh,P,"['Grassmann (G)', 'Oldenberg (O)', 'Arnold (C2)']",911,Wedding Hymn,Hymns of Manyu
10.145.04.a,gr̥bhṇā,strong,gr̥bh,,False,V.B.,Earlier,ninth,gr̥bhⁱ,10,10.145,10.145.04,a,PE1,gr̥bhṇā́mi,4,,1.SG.PRS.IND.ACT,nahí asyā+ nā́ma gr̥bhṇā́mi,nahy a\syā nā́ma gr̥bhṇā́mi,L LL LS LLS,Aṇuṣṭubh,P,,971,Against Rivals in Love,Hymns of Manyu
09.079.02.b,junī,weak,jū,,False,V.,Earlier,ninth,jū,09,09.079,09.079.02,b,M,junīmási,5,,1.PL.PRS.IND.ACT,dhánā vā yébhiḥ= árvataḥ} junīmási,dhánā vā yébhir árvato junīmási,SL L LS LSL SLSS,Jagatī,S,,791,Soma,The Jagati Group
01.027.07.b,junā,strong,jū,,False,V.,Earlier,ninth,jū,01,01.027,01.027.07,b,M,junā́ḥ,4,,2.SG.PRS.SBJV.ACT,ávāḥ vā́jeṣu yám junā́ḥ,ávā vā́jeṣu yáṁ junā́ḥ,SL LLS L SL,Gāyatrī,S,,27,Agni,Hymns of Medhatithi
01.071.06.d,junā,strong,jū,,False,V.,Earlier,ninth,jū,01,01.071,01.071.06,d,M,junā́si,5,,2.SG.PRS.IND.ACT,yā́sat rāyā́= sarátham yám} junā́si,yā́sad rāyā́ saráthaṁ yáṁ junā́si,LL LL SSL L SLS,Triṣṭubh,N,,71,Agni,"Hymns of Parasa, the Son of Sakti"
01.186.05.c,junā,strong,jū,,False,V.,Earlier,ninth,jū,01,01.186,01.186.05,c,M,junā́ma,4,,1.PL.PRS.SBJV.ACT,yéna nápātam= apā́m} junā́ma,yéna nápātam apáaṁ junā́ma,LS SLS SSL SLS,Triṣṭubh,A,,186,All the Gods,Hymns of Agastya
07.086.07.d,junā,strong,jū,,False,V.,Earlier,ninth,jū,07,07.086,07.086.07,d,M,junāti,4,,3.SG.PRS.IND.ACT,gŕ̥tsam rāyé-_= kavítaraḥ} junāti,gŕ̥tsaṁ rāyé kavítaro junāti,LL LL SSSL SLS,Triṣṭubh,S,,602,Varuna,Hymns to Varuna
05.034.05.c,jinā,strong,jī,,False,,Earlier,ninth,jyā,05,05.034,05.034.05,c,M,jinā́ti,1,intermediate,3.SG.PRS.IND.ACT,jinā́ti vā ít= amuyā́ hánti vā dhúniḥ,jinā́ti véd amuyā́ hánti vā dhúnir,SLS L SSL LS L SL,Jagatī,N,,388,Indra,Hymns to Indra
09.055.04.a,jinā,strong,jī,,False,,Earlier,ninth,jyā,09,09.055,09.055.04,a,MO,jinā́ti,2,intermediate,3.SG.PRS.IND.ACT,yáḥ jinā́ti ná jī́yate?_,yó jinā́ti ná jī́yate,L SLS S LSL,Gāyatrī,N,,767,Soma,Tirasci and Other Poets
10.027.04.c,jinā,strong,jī,,False,,Earlier,ninth,jyā,10,10.027,10.027.04,c,P,jinā́mi,1,intermediate,1.SG.PRS.IND.ACT,jinā́mi vā ít= kṣéme-_ ā́ sántam ābhúm,jinā́mi vét kṣéma ā́ sántam ābhúm,SLS L LS L LS LL,Triṣṭubh,P,['Arnold (C1)'],853,Indra,The Vasukra Hymns
01.023.21.a,pr̥ṇī,weak,pr̥,,False,,Earlier,ninth,pr̥̄ 1,01,01.023,01.023.21,a,P,pr̥ṇītá,2,verse final,2.PL.PRS.IMP.ACT,ā́paḥ pr̥ṇītá bheṣajám,ā́paḥ pr̥ṇītá bheṣajáṁ,LL SLS LSL,Gāyatrī,P,"['Oldenberg (O)', 'Arnold (C1)', 'Wuest (W)']",23,Diverse Gods,Hymns of Medhatithi
05.005.05.c,pr̥ṇī,weak,pr̥,,False,,Earlier,ninth,pr̥̄ 1,05,05.005,05.005.05,c,M,pr̥ṇītana,3,,2.PL.PRS.IMP.ACT,prá-pra yajñám pr̥ṇītana,prá-pra yajñám pr̥ṇītana,LS LL SLSS,Gāyatrī,C,,359,Apri Hymn,Hymns to Agni
07.065.04.d,pr̥ṇī,weak,pr̥,,False,,Earlier,ninth,pr̥̄ 1,07,07.065,07.065.04,d,M,pr̥ṇītám,1,intermediate,2.DU.PRS.IMP.ACT,pr̥ṇītám udnáḥ= divyásya cā́roḥ,pr̥ṇītám udnó diviyásya cā́roḥ,SLS LL SSLS LL,Triṣṭubh,S,,581,Mitra and Varuna,Hymns to Mitra and Varuna
10.009.07.a,pr̥ṇī,weak,pr̥,,False,,Earlier,ninth,pr̥̄ 1,10,10.009,10.009.07,a,PR,pr̥ṇītá,2,verse final,2.PL.PRS.IMP.ACT,ā́paḥ pr̥ṇītá bheṣajám,ā́paḥ pr̥ṇītá bheṣajáṁ,LL SLS LSL,Gāyatrī,P,['Wuest (W)'],835,The Waters,Hymns of Trita Aptya
10.117.05.a,pr̥ṇī,weak,pr̥,,False,,Earlier,ninth,pr̥̄ 1,10,10.117,10.117.05,a,P,pr̥ṇīyā́t,1,intermediate,3.SG.PRS.OPT.ACT,pr̥ṇīyā́t ít= nā́dhamānāya távyān,pr̥ṇīyā́d ín nā́dhamānāya távyān,SLL L LSLLS LL,Triṣṭubh,P,['Arnold (C1)'],943,Praise of Charity,Hymns of Manyu
10.117.09.d,pr̥ṇī,weak,pr̥,,False,,Earlier,ninth,pr̥̄ 1,10,10.117,10.117.09,d,P,pr̥ṇītaḥ,6,,3.DU.PRS.IND.ACT,jñātī́+_ cit sántau= ná samám} pr̥ṇītaḥ,jñātī́ cit sántau ná samám pr̥ṇītaḥ,LL L LL S SL SLL,Triṣṭubh,P,['Arnold (C1)'],943,Praise of Charity,Hymns of Manyu
01.125.05.b,pr̥ṇā,strong,pr̥,,False,,Earlier,ninth,pr̥̄ 1,01,01.125,01.125.05,b,M,pr̥ṇā́ti,2,intermediate,3.SG.PRS.IND.ACT,yáḥ pr̥ṇā́ti= sá ha devéṣu gacchati,yáḥ pr̥ṇā́ti sá ha devéṣu gachati,L SLS S S LLS LSS,Jagatī,C,"['Grassmann (G)', 'Oldenberg (o)']",125,Praise of the Generous Sacrificer,"Hymns of Kaksivat, the Son of Dirghatamas and Usij"
02.030.07.c,pr̥ṇā,strong,pr̥,,False,,Earlier,ninth,pr̥̄ 1,02,02.030,02.030.07,c,M,pr̥ṇā́t,3,intermediate,3.SG.PRS.SBJV.ACT,yáḥ me-_ pr̥ṇā́t= yáḥ dádat yáḥ} nibódhāt,yó me pr̥ṇā́d yó dádad yó nibódhād,L L SL L SL L SLL,Triṣṭubh,N,,221,Indra and Other Gods,Hymns to Various Gods
03.006.02.a,pr̥ṇā,strong,pr̥,,False,,Earlier,ninth,pr̥̄ 1,03,03.006,03.006.02,a,M,apr̥ṇāḥ,3,verse final,2.SG.IPRF.IND.ACT,ā́ ródasī+_= apr̥ṇāḥ jā́yamānaḥ,ā́ ródasī apr̥ṇā jā́yamāna,L LSL SSL LSLS,Triṣṭubh,N,,240,Agni,Hymns to Agni
04.018.05.d,pr̥ṇā,strong,pr̥,,False,,Earlier,ninth,pr̥̄ 1,04,04.018,04.018.05,d,P,apr̥ṇāt,3,verse final,3.SG.IPRF.IND.ACT,ā́ ródasī+_= apr̥ṇāt jā́yamānaḥ,ā́ ródasī apr̥ṇāj jā́yamānaḥ,L LSL SSL LSLL,Triṣṭubh,P,['Arnold (C1)'],314,"Dialogue Between Indra, Aditi and Vamadeva",Hymns to Indra
06.047.15.a,pr̥ṇā,strong,pr̥,,False,,Earlier,ninth,pr̥̄ 1,06,06.047,06.047.15,a,D,pr̥ṇāt,5,intermediate,3.SG.PRS.SBJV.ACT,káḥ īm stavat= káḥ pr̥ṇāt káḥ} yajāte?_,ká īṁ stavat káḥ pr̥ṇāt kó yajāte,S L SL L SL L SLL,Triṣṭubh,C,"['Oldenberg (O)', 'Wuest (W)', 'Witzel (Z)']",488,"Soma, Indra and Others",Hymns to Indra
07.013.02.b,pr̥ṇā,strong,pr̥,,False,,Earlier,ninth,pr̥̄ 1,07,07.013,07.013.02,b,M,apr̥ṇāḥ,3,verse final,2.SG.IPRF.IND.ACT,ā́ ródasī+_= apr̥ṇāḥ jā́yamānaḥ,ā́ ródasī apr̥ṇā jā́yamānaḥ,L LSL SSL LSLL,Triṣṭubh,C,,529,Agni Vaisvanara,Hymns to Agni
08.064.04.c,pr̥ṇā,strong,pr̥,,False,,Earlier,ninth,pr̥̄ 1,08,08.064,08.064.04,c,MO,pr̥ṇāsi,3,verse final,2.SG.PRS.IND.ACT,ā́ ubhé+_ pr̥ṇāsi ródasī+_,óbhé pr̥ṇāsi ródasī,LL SLS LSL,Gāyatrī,A,,673,Indra,Hymns of Pragatha and Other Kanva-Sons
10.002.04.c,pr̥ṇā,strong,pr̥,,False,,Earlier,ninth,pr̥̄ 1,10,10.002,10.002.04,c,M,pr̥ṇāti,5,verse final,3.SG.PRS.SBJV.ACT,agníḥ tát víśvam= ā́ pr̥ṇāti vidvā́n,agníṣ ṭád víśvam ā́ pr̥ṇāti vidvā́n,LL L LS L SLS LL,Triṣṭubh,C,,828,Agni,Hymns of Trita Aptya
10.028.02.d,pr̥ṇā,strong,pr̥,,False,,Earlier,ninth,pr̥̄ 1,10,10.028,10.028.02,d,P,pr̥ṇā́ti,5,,3.SG.PRS.IND.ACT,yáḥ me-_ kukṣī́+_= sutásomaḥ} pr̥ṇā́ti,yó me kukṣī́ sutásomaḥ pr̥ṇā́ti,L L LL SSLL SLS,Triṣṭubh,P,['Arnold (C1)'],854,"Indra, a Dispute",The Vasukra Hymns
10.045.06.b,pr̥ṇā,strong,pr̥,,False,,Earlier,ninth,pr̥̄ 1,10,10.045,10.045.06,b,M,apr̥ṇāt,3,verse final,3.SG.IPRF.IND.ACT,ā́ ródasī+_= apr̥ṇāt jā́yamānaḥ,ā́ ródasī apr̥ṇāj jā́yamānaḥ,L LSL SSL LSLL,Triṣṭubh,C,,871,Agni,The Vatsapri Hymns
10.055.03.a,pr̥ṇā,strong,pr̥,,False,,Earlier,ninth,pr̥̄ 1,10,10.055,10.055.03,a,D,apr̥ṇāt,3,intermediate,3.SG.IPRF.IND.ACT,ā́ ródasī+_= apr̥ṇāt ā́ utá mádhyam,ā́ ródasī apr̥ṇād ótá mádhyam,L LSL SSL LS LL,Triṣṭubh,C,,881,Indra,Brihaduktha Hymns
10.095.05.b,pr̥ṇā,strong,pr̥,,False,,Earlier,ninth,pr̥̄ 1,10,10.095,10.095.05,b,D,pr̥ṇāsi,5,,2.SG.PRS.IND.ACT,utá sma me-_= ávyatyai} pr̥ṇāsi,utá sma me áviyatyai pr̥ṇāsi,SL S L SSLL SLS,Triṣṭubh,p,"['Grassmann (G)', 'Arnold (C1)', 'Witzel (Z)']",921,Pururavas and Urvasi,Hymns of Manyu
01.025.01.c,minī mīnī,weak,mi mī,,False,V.B.,Earlier,ninth,mī 1,01,01.025,01.025.01,c,M,minīmási,1,verse final,1.PL.PRS.IND.ACT,minīmási dyávi-dyavi,minīmási dyávi-dyavi,SLSL SLSS,Gāyatrī,S,,25,Varuna,Hymns of Medhatithi
10.134.07.a,minī mīnī,weak,mi mī,,False,V.B.,Earlier,ninth,mī 1,10,10.134,10.134.07,a,M,minīmasi,3,,1.PL.PRS.IND.ACT,nákiḥ devāḥ minīmasi,nákir devā minīmasi,SL LL SLSS,,S,['Grassmann (G)'],960,Indra,Hymns of Manyu
01.032.04.b,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,01,01.032,01.032.04,b,M,ámināḥ,3,intermediate,2.SG.PRS.IND.ACT,ā́t māyínām= ámināḥ prá utá māyā́ḥ,ā́n māyínām ámināḥ prótá māyā́ḥ,L LSL SSL LS LL,Triṣṭubh,C,,32,Indra,Hymns of Medhatithi
01.071.10.c,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,01,01.071,01.071.10,c,M,mināti,5,,3.SG.PRS.IND.ACT,nábhaḥ ná+_ rūpám= jarimā́} mināti,nábho ná rūpáṁ jarimā́ mināti,SL S LL SSL SLS,Triṣṭubh,N,,71,Agni,"Hymns of Parasa, the Son of Sakti"
01.123.09.c,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,01,01.123,01.123.09,c,M,mināti,4,verse final,3.SG.PRS.IND.ACT,r̥tásya yóṣā= ná mināti dhā́ma,r̥tásya yóṣā ná mināti dhā́ma,SLS LL S SLS LS,Triṣṭubh,C,,123,Usas,"Hymns of Kaksivat, the Son of Dirghatamas and Usij"
01.124.03.d,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,01,01.124,01.124.03,d,MR,mināti,5,,3.SG.PRS.IND.ACT,prajānatī́?_ iva= ná díśaḥ} mināti,prajānatī́va ná díśo mināti,SLSLS S SL SLS,Triṣṭubh,C,,124,Usas,"Hymns of Kaksivat, the Son of Dirghatamas and Usij"
01.179.01.c,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,01,01.179,01.179.01,c,P,minā́ti,1,intermediate,3.SG.PRS.IND.ACT,minā́ti śríyam= jarimā́} tanū́nām,minā́ti śríyaṁ jarimā́ tanū́nām,SLL SL SSL SLL,Triṣṭubh,P,"['Grassmann (G)', 'Oldenberg (O)', 'Arnold (C1)', 'Wuest (W)']",179,Agastya and Lopamudra,Hymns of Agastya
02.012.05.c,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,02,02.012,02.012.05,c,M,mināti,7,,3.SG.PRS.IND.ACT,sáḥ aryáḥ puṣṭī́ḥ= víjaḥ iva ā́} mināti,só aryáḥ puṣṭī́r víja 'vā́@ mināti,L LL LL SS L SLS,Triṣṭubh,C,,203,Indra,Hymns to Indra
03.030.12.a,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,03,03.030,03.030.12,a,M,mināti,4,verse final,3.SG.PRS.IND.ACT,díśaḥ sū́ryaḥ= ná mināti} prádiṣṭāḥ,díśaḥ sū́ryo ná mināti prádiṣṭā,SL LL S SLL SLL,Triṣṭubh,N,,264,Indra,Hymns to Indra
03.034.03.b,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,03,03.034,03.034.03,b,M,amināt,3,verse final,3.SG.PRS.IND.ACT,prá māyínām= amināt várpaṇītiḥ,prá māyínām aminād várpaṇītiḥ,S LSL SSL LSLL,Triṣṭubh,c,,268,Indra,Hymns to Indra
03.049.02.d,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,03,03.049,03.049.02,d,M,amināt,2,intermediate,3.SG.PRS.IND.ACT,pr̥thujráyāḥ= amināt ā́yuḥ dásyoḥ,pr̥thujráyā aminād ā́yu@ dásyoḥ,SLSL SSL LL LL,Triṣṭubh,N,,283,Indra,Hymns to Indra
05.007.04.d,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,05,05.007,05.007.04,d,M,minā́ti,3,verse final,3.SG.PRS.IND.ACT,prá smā+ minā́ti ajáraḥ,prá smā minā́ti ajáraḥ,L L SLS SSL,Aṇuṣṭubh,A,,361,Agni,Hymns to Agni
05.080.04.d,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,05,05.080,05.080.04,d,M,mināti,5,,3.SG.PRS.IND.ACT,prajānatī́?_ iva= ná díśaḥ} mināti,prajānatī́va ná díśo mināti,SLSLS S SL SLS,Triṣṭubh,C,,434,Usas,Hymns to Various Gods
06.030.02.b,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,06,06.030,06.030.02,b,M,mināti,5,,3.SG.PRS.IND.ACT,yā́ni dādhā́ra= nákiḥ ā́} mināti,yā́ni dādhā́ra nákir ā́ mināti,LS LLS SS L SLS,Triṣṭubh,n,,471,Indra,Hymns to Indra
07.036.04.c,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,07,07.036,07.036.04,c,M,minā́ti,5,,3.SG.PRS.IND.ACT,prá yáḥ manyúm= rírikṣataḥ} minā́ti,prá yó manyúṁ rírikṣato minā́ti,S L LL SLSL SLS,Triṣṭubh,S,,552,All the Gods,Hymns to All the Gods
07.063.03.d,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,07,07.063,07.063.03,d,M,praminā́ti,4,verse final,3.SG.PRS.IND.ACT,yáḥ samānám ná+_= praminā́ti dhā́ma,yáḥ samānáṁ ná praminā́ti dhā́ma,L SLL L SSLS LS,Triṣṭubh,S,,579,"Surya, Mitra and Varuna",Hymns to Mitra and Varuna
07.084.04.c,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,07,07.084,07.084.04,c,M,minā́ti,5,,3.SG.PRS.IND.ACT,prá yáḥ ādityáḥ= ánr̥tā} minā́ti,prá yá ādityó ánr̥tā minā́ti,S S LLL SSL SLS,Triṣṭubh,S,,600,Indra and Varuna,Hymns to Indra and Varuna
08.048.09.c,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,08,08.048,08.048.09,c,D,praminā́ma,4,verse final,1.PL.PRS.SBJV.ACT,yát te-_ vayám= praminā́ma} vratā́ni,yát te vayám praminā́ma vratā́ni,L L SL SSLL SLS,,p,,668,Soma,"Hymns of Virupa, Vasa and Others"
08.088.03.d,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,08,08.088,08.088.03,d,M,mināti,4,verse final,3.SG.PRS.IND.ACT,nákiḥ tát ā́ mināti te-_,nákiṣ ṭád ā́ mināti te,SL S L SLS L,,S,,697,Indra,Hymns of Nodhas
09.086.16.b,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,09,09.086,09.086.16,b,M,mināti,5,verse final,3.SG.PRS.IND.ACT,sákhā sákhyuḥ= ná prá mināti saṁgíram,sákhā sákhyur ná prá mināti saṁgíram,SL LL L S SLS LSL,Jagatī,N,,798,Soma,The Jagati Group
09.097.30.b,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,09,09.097,09.097.30,b,M,mināti,5,verse final,3.SG.PRS.IND.ACT,rā́jā ná+_ mitrám= prá mināti dhī́raḥ,rā́jā ná mitrám prá mināti dhī́raḥ,LL S LL S SLS LL,Triṣṭubh,N,,809,Soma,The Tristubh Group
10.002.04.a,minā mīnā,strong,mi mī,,False,V.B.,Earlier,ninth,mī 1,10,10.002,10.002.04,a,M,praminā́ma,4,verse final,1.PL.PRS.SBJV.ACT,yát vaḥ vayám= praminā́ma} vratā́ni,yád vo vayám praminā́ma vratā́ni,L L SL SSLL SLS,Triṣṭubh,C,,828,Agni,Hymns of Trita Aptya
