root_guess,variant_no,strong_stem,weak_stem,weak_only,attestation_texts,language_period,present_class,root,strong_attestations,strong_attestations_total,weak_attestations,weak_attestations_total
mr̥d,,mr̥dnā,mr̥dnī,False,S. +,Earlier & Later,ninth,mr̥d,,0,,0
lu,,lunā,lunī,False,B. +,Earlier & Later,ninth,lu,,0,,0
vr̥ vr̥̄,2,vr̥ṇā,vr̥ṇī,False,,Earlier & Later,ninth,vr̥ vr̥̄,,0,01.139.01 09.066.18 10.013.04 10.036.11 01.012.01 01.032.03 01.036.03 01.039.07 01.042.05 01.044.03 01.067.01 01.114.04 01.114.09 01.117.13 01.119.05 01.180.04 02.026.02 02.033.13 02.041.19 03.002.04 03.029.16 03.036.08 03.039.07 04.025.03 04.031.11 04.041.07 04.043.02 04.053.01 05.020.03 05.026.04 05.028.06 05.050.01 05.082.01 05.082.07 06.015.09 07.019.09 07.033.02 07.069.04 07.097.02 08.004.15 08.006.44 08.014.06 08.018.16 08.025.13 08.026.21 08.027.22 08.031.10 08.044.20 08.060.01 08.067.04 08.083.01 08.083.04 08.090.02 09.061.04 09.065.09 09.065.28 09.070.06 09.097.41 10.021.01 10.035.01 10.035.02 10.036.02 10.036.03 10.036.04 10.036.05 10.036.06 10.036.07 10.036.08 10.036.09 10.036.10 10.036.12 10.085.14 10.100.01 10.100.02 10.100.03 10.100.04 10.100.05 10.100.06 10.100.07 10.100.08 10.100.09 10.100.10 10.100.11 10.126.02 10.127.08,85
śr̥,,śr̥ṇā,śr̥ṇī,False,,Earlier & Later,ninth,śr̥̄ 1,10.089.06 10.089.08 10.138.04,3,10.087.14 10.087.10 03.030.17 07.104.01 10.087.05 10.087.25,6
stabh,,stabhnā,stabhnī,False,,Earlier & Later,ninth,stambhⁱ,02.012.02 02.013.10 02.017.05 03.030.09 03.053.09 06.008.03 06.047.05 07.099.02 07.099.03 08.042.01 08.089.05 10.018.13 10.055.01 10.113.04 10.153.03,15,,0
str̥,,str̥ṇā,str̥ṇī,False,,Earlier & Later,ninth,str̥̄,08.041.08 08.063.07,2,01.013.05 03.004.04 05.026.08 06.067.02 07.017.01 07.043.02 08.073.03,7
aśⁱ,1,aśnā,aśnī,True,E.,Later,ninth,aśⁱ,09.067.31 10.085.03 10.085.04,3,07.073.02,1
kuṣ,,kuṣṇā,kuṣṇī,False,C.,Later,ninth,kuṣ,,0,,0
kliś,,kliśnā,kliśnī,False,,Later,ninth,kliś,,0,,0
dhu dhū,,dhunā dhūnā,dhunī dhūnī,True,C.,Later,ninth,dhu dhū,,0,,0
puṣ,,puṣṇā,puṣṇī,False,,Later,ninth,puṣ,,0,,0
akṣ,,akṣṇo,akṣṇu,False,V.B.,Earlier,fifth,akṣ,,0,,0
i,,ino,inu,False,V.,Earlier,fifth,i,,0,,0
u,,uno,unu,False,V.,Earlier,fifth,u,,0,,0
r̥,,r̥ṇo,r̥ṇu,False,V.,Earlier,fifth,r̥,,0,,0
