line_no,labels,strata,strata_based_on_meter_only
07.083.01.d,M,C,False
07.083.02.a,M,C,False
07.083.02.b,M,C,False
07.083.02.c,M,C,False
07.083.02.d,M,C,False
07.083.03.a,M,C,False
07.083.03.b,M,C,False
07.083.03.c,M,C,False
07.083.03.d,M,C,False
07.083.04.a,M,C,False
07.083.04.b,M,C,False
07.083.04.c,M,C,False
07.083.04.d,M,C,False
07.083.05.a,M,C,False
07.083.05.b,M,C,False
07.083.05.c,M,C,False
07.083.05.d,M,C,False
07.083.06.a,M,C,False
07.083.06.b,M,C,False
07.083.06.c,M,C,False
07.083.06.d,M,C,False
07.083.07.a,M,C,False
07.083.07.b,M,C,False
07.083.07.c,M,C,False
07.083.07.d,M,C,False
07.083.08.a,M,C,False
07.083.08.b,M,C,False
07.083.08.c,M,C,False
07.083.08.d,M,C,False
07.083.09.a,M,C,False
07.083.09.b,M,C,False
07.083.09.c,M,C,False
07.083.09.d,M,C,False
07.083.10.a,MR,C,False
07.083.10.b,MR,C,False
07.083.10.c,MR,C,False
07.083.10.d,MR,C,False
07.084.01.a,M,S,False
07.084.01.b,MR,S,False
07.084.01.c,M,S,False
07.084.01.d,M,S,False
07.084.02.a,M,S,False
07.084.02.b,M,S,False
07.084.02.c,M,S,False
07.084.02.d,M,S,False
07.084.03.a,M,S,False
07.084.03.b,M,S,False
07.084.03.c,M,S,False
07.084.03.d,M,S,False
07.084.04.a,M,S,False
07.084.04.b,M,S,False
07.084.04.c,M,S,False
07.084.04.d,M,S,False
07.084.05.a,M,S,False
07.084.05.b,M,S,False
07.084.05.c,MR,S,False
07.084.05.d,MR,S,False
07.085.01.a,M,S,False
07.085.01.b,M,S,False
07.085.01.c,M,S,False
07.085.01.d,M,S,False
07.085.02.a,M,S,False
07.085.02.b,M,S,False
07.085.02.c,M,S,False
07.085.02.d,M,S,False
07.085.03.a,M,S,False
07.085.03.b,M,S,False
07.085.03.c,M,S,False
07.085.03.d,M,S,False
07.085.04.a,M,S,False
07.085.04.b,M,S,False
07.085.04.c,M,S,False
07.085.04.d,M,S,False
07.085.05.a,MR,S,False
07.085.05.b,MR,S,False
07.085.05.c,MR,S,False
07.085.05.d,MR,S,False
07.086.01.a,M,S,False
07.086.01.b,M,S,False
07.086.01.c,M,S,False
07.086.01.d,M,S,False
07.086.02.a,M,S,False
07.086.02.b,M,S,False
07.086.02.c,M,S,False
07.086.02.d,M,S,False
07.086.03.a,M,S,False
07.086.03.b,M,S,False
07.086.03.c,M,S,False
07.086.03.d,M,S,False
07.086.04.a,M,S,False
07.086.04.b,M,S,False
07.086.04.c,M,S,False
07.086.04.d,M,S,False
07.086.05.a,M,S,False
07.086.05.b,M,S,False
07.086.05.c,M,S,False
07.086.05.d,M,S,False
07.086.06.a,M,S,False
07.086.06.b,M,S,False
07.086.06.c,M,S,False
07.086.06.d,M,S,False
07.086.07.a,M,S,False
07.086.07.b,M,S,False
07.086.07.c,M,S,False
07.086.07.d,M,S,False
07.086.08.a,M,S,False
07.086.08.b,M,S,False
07.086.08.c,M,S,False
07.086.08.d,MR,S,False
07.087.01.a,M,S,False
07.087.01.b,M,S,False
07.087.01.c,M,S,False
07.087.01.d,M,S,False
07.087.02.a,M,S,False
07.087.02.b,M,S,False
07.087.02.c,M,S,False
07.087.02.d,M,S,False
07.087.03.a,M,S,False
07.087.03.b,M,S,False
07.087.03.c,M,S,False
07.087.03.d,M,S,False
07.087.04.a,M,S,False
07.087.04.b,M,S,False
07.087.04.c,M,S,False
07.087.04.d,M,S,False
07.087.05.a,M,S,False
07.087.05.b,M,S,False
07.087.05.c,M,S,False
07.087.05.d,M,S,False
07.087.06.a,M,S,False
07.087.06.b,M,S,False
07.087.06.c,M,S,False
07.087.06.d,M,S,False
07.087.07.a,M,S,False
07.087.07.b,M,S,False
07.087.07.c,M,S,False
07.087.07.d,MR,S,False
07.088.01.a,M,S,False
07.088.01.b,M,S,False
07.088.01.c,M,S,False
07.088.01.d,M,S,False
07.088.02.a,M,S,False
07.088.02.b,M,S,False
07.088.02.c,M,S,False
07.088.02.d,M,S,False
07.088.03.a,M,S,False
07.088.03.b,M,S,False
07.088.03.c,M,S,False
07.088.03.d,M,S,False
07.088.04.a,M,S,False
07.088.04.b,M,S,False
07.088.04.c,M,S,False
07.088.04.d,M,S,False
07.088.05.a,M,S,False
07.088.05.b,M,S,False
07.088.05.c,M,S,False
07.088.05.d,M,S,False
07.088.06.a,M,S,False
07.088.06.b,M,S,False
07.088.06.c,M,S,False
07.088.06.d,M,S,False
07.088.07.a,M,S,False
07.088.07.b,M,S,False
