line_no,labels,strata,strata_based_on_meter_only
07.035.07.c,D,P,True
07.035.07.d,D,P,True
07.035.08.a,D,P,True
07.035.08.b,D,P,True
07.035.08.c,D,P,True
07.035.08.d,D,P,True
07.035.09.a,D,P,True
07.035.09.b,D,P,True
07.035.09.c,D,P,True
07.035.09.d,D,P,True
07.035.10.a,D,P,True
07.035.10.b,D,P,True
07.035.10.c,D,P,True
07.035.10.d,D,P,True
07.035.11.a,D,P,True
07.035.11.b,D,P,True
07.035.11.c,D,P,True
07.035.11.d,D,P,True
07.035.12.a,D,P,True
07.035.12.b,D,P,True
07.035.12.c,D,P,True
07.035.12.d,D,P,True
07.035.13.a,D,P,True
07.035.13.b,D,P,True
07.035.13.c,D,P,True
07.035.13.d,D,P,True
07.035.14.a,D,P,True
07.035.14.b,D,P,True
07.035.14.c,D,P,True
